nohup: ignoring input
[21:49:35.313] Namespace(data='brain', snapshot_path='./work_dir/ped0213/brain', data_prefix='/data/pyhData/MedSAM-MedSAM2/data/npz_train/BraTS-PED', rand_crop_size=(256, 256, 256), device_ids='0,1', batch_size=1, num_classes=2, lr=0.0004, max_epoch=50, eval_interval=4, resume=False, num_worker=6, tolerance=5)
/home/pyh/.conda/envs/sam2_in_med/lib/python3.10/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.croppad.dictionary CropForegroundd.__init__:allow_smaller: Current default value of argument `allow_smaller=True` has been deprecated since version 1.2. It will be changed to `allow_smaller=False` in version 1.5.
  warn_deprecated(argname, msg, warning_category)
[21:52:04.700] epoch: 0/50, iter: 81/252: loss:0.39409623
[21:52:06.467] epoch: 0/50, iter: 82/252: loss:0.43628624
[21:52:08.241] epoch: 0/50, iter: 83/252: loss:0.44532406
[21:52:10.016] epoch: 0/50, iter: 84/252: loss:0.44579953
[21:52:11.776] epoch: 0/50, iter: 85/252: loss:0.41355264
[21:52:13.508] epoch: 0/50, iter: 86/252: loss:0.39876577
[21:52:15.267] epoch: 0/50, iter: 87/252: loss:0.46417567
[21:52:17.058] epoch: 0/50, iter: 88/252: loss:0.35082743
[21:52:18.829] epoch: 0/50, iter: 89/252: loss:0.5008529
[21:52:20.567] epoch: 0/50, iter: 90/252: loss:0.5065767
[21:52:22.329] epoch: 0/50, iter: 91/252: loss:0.5366887
[21:52:24.095] epoch: 0/50, iter: 92/252: loss:0.52890223
[21:52:25.883] epoch: 0/50, iter: 93/252: loss:0.56413436
[21:52:27.661] epoch: 0/50, iter: 94/252: loss:0.51604724
[21:52:29.405] epoch: 0/50, iter: 95/252: loss:0.54223585
[21:52:31.164] epoch: 0/50, iter: 96/252: loss:0.50587875
[21:52:32.954] epoch: 0/50, iter: 97/252: loss:0.4995879
[21:52:34.734] epoch: 0/50, iter: 98/252: loss:0.4863955
[21:52:36.514] epoch: 0/50, iter: 99/252: loss:0.30506456
[21:52:38.263] epoch: 0/50, iter: 100/252: loss:0.3169271
[21:52:40.006] epoch: 0/50, iter: 101/252: loss:0.32559574
[21:52:41.753] epoch: 0/50, iter: 102/252: loss:0.50215656
[21:52:43.501] epoch: 0/50, iter: 103/252: loss:0.43552557
[21:52:45.239] epoch: 0/50, iter: 104/252: loss:0.38911644
[21:52:47.014] epoch: 0/50, iter: 105/252: loss:0.39491695
[21:52:48.795] epoch: 0/50, iter: 106/252: loss:0.36342174
[21:52:50.548] epoch: 0/50, iter: 107/252: loss:0.2790639
[21:52:52.337] epoch: 0/50, iter: 108/252: loss:0.43642002
[21:52:54.113] epoch: 0/50, iter: 109/252: loss:0.44857314
[21:52:55.858] epoch: 0/50, iter: 110/252: loss:0.47675875
[21:52:57.613] epoch: 0/50, iter: 111/252: loss:0.35891953
[21:52:59.330] epoch: 0/50, iter: 112/252: loss:0.10846935
[21:53:01.043] epoch: 0/50, iter: 113/252: loss:0.40099216
[21:53:02.814] epoch: 0/50, iter: 114/252: loss:0.38386047
[21:53:04.558] epoch: 0/50, iter: 115/252: loss:0.23106425
[21:53:06.352] epoch: 0/50, iter: 116/252: loss:0.44821796
[21:53:08.124] epoch: 0/50, iter: 117/252: loss:0.29733184
[21:53:09.870] epoch: 0/50, iter: 118/252: loss:0.4339021
[21:53:11.645] epoch: 0/50, iter: 119/252: loss:0.47161222
[21:53:13.412] epoch: 0/50, iter: 120/252: loss:0.4208663
[21:53:15.197] epoch: 0/50, iter: 121/252: loss:0.46184024
[21:53:16.976] epoch: 0/50, iter: 122/252: loss:0.26219407
[21:53:18.728] epoch: 0/50, iter: 123/252: loss:0.46692702
[21:53:20.491] epoch: 0/50, iter: 124/252: loss:0.37907624
[21:53:22.272] epoch: 0/50, iter: 125/252: loss:0.4437714
[21:53:24.037] epoch: 0/50, iter: 126/252: loss:0.49343702
[21:53:25.760] epoch: 0/50, iter: 127/252: loss:0.41780254
[21:53:27.511] epoch: 0/50, iter: 128/252: loss:0.37277168
[21:53:29.256] epoch: 0/50, iter: 129/252: loss:0.3092495
[21:53:31.042] epoch: 0/50, iter: 130/252: loss:0.34376022
[21:53:32.776] epoch: 0/50, iter: 131/252: loss:0.30915403
[21:53:34.528] epoch: 0/50, iter: 132/252: loss:0.47067705
[21:53:36.323] epoch: 0/50, iter: 133/252: loss:0.3086137
[21:53:38.096] epoch: 0/50, iter: 134/252: loss:0.46089157
[21:53:39.877] epoch: 0/50, iter: 135/252: loss:0.28574687
[21:53:41.626] epoch: 0/50, iter: 136/252: loss:0.4148624
[21:53:43.374] epoch: 0/50, iter: 137/252: loss:0.30970997
[21:53:45.132] epoch: 0/50, iter: 138/252: loss:0.3616486
[21:53:46.903] epoch: 0/50, iter: 139/252: loss:0.43378058
[21:53:48.645] epoch: 0/50, iter: 140/252: loss:0.4961266
[21:53:50.415] epoch: 0/50, iter: 141/252: loss:0.4157969
[21:53:52.181] epoch: 0/50, iter: 142/252: loss:0.31164274
[21:53:53.956] epoch: 0/50, iter: 143/252: loss:0.45978212
[21:53:55.717] epoch: 0/50, iter: 144/252: loss:0.40770102
[21:53:57.486] epoch: 0/50, iter: 145/252: loss:0.44566876
[21:53:59.251] epoch: 0/50, iter: 146/252: loss:0.26436216
[21:54:01.028] epoch: 0/50, iter: 147/252: loss:0.42295983
[21:54:02.823] epoch: 0/50, iter: 148/252: loss:0.284122
[21:54:04.582] epoch: 0/50, iter: 149/252: loss:0.33434594
[21:54:06.341] epoch: 0/50, iter: 150/252: loss:0.4596809
[21:54:08.128] epoch: 0/50, iter: 151/252: loss:0.43421164
[21:54:09.902] epoch: 0/50, iter: 152/252: loss:0.50258493
[21:54:11.703] epoch: 0/50, iter: 153/252: loss:0.16424976
[21:54:13.477] epoch: 0/50, iter: 154/252: loss:0.4289312
[21:54:15.238] epoch: 0/50, iter: 155/252: loss:0.3377214
[21:54:16.973] epoch: 0/50, iter: 156/252: loss:0.5054137
[21:54:18.757] epoch: 0/50, iter: 157/252: loss:0.41188717
[21:54:20.544] epoch: 0/50, iter: 158/252: loss:0.4146549
[21:54:22.287] epoch: 0/50, iter: 159/252: loss:0.42396855
[21:54:24.053] epoch: 0/50, iter: 160/252: loss:0.4184341
[21:54:25.792] epoch: 0/50, iter: 161/252: loss:0.27450904
[21:54:27.580] epoch: 0/50, iter: 162/252: loss:0.49846405
[21:54:29.347] epoch: 0/50, iter: 163/252: loss:0.26014608
[21:54:31.136] epoch: 0/50, iter: 164/252: loss:0.38575864
[21:54:32.900] epoch: 0/50, iter: 165/252: loss:0.4534856
[21:54:34.649] epoch: 0/50, iter: 166/252: loss:0.11945339
[21:54:36.428] epoch: 0/50, iter: 167/252: loss:0.37547436
[21:54:38.155] epoch: 0/50, iter: 168/252: loss:0.36835164
[21:54:39.893] epoch: 0/50, iter: 169/252: loss:0.44270426
[21:54:41.652] epoch: 0/50, iter: 170/252: loss:0.46927798
[21:54:43.409] epoch: 0/50, iter: 171/252: loss:0.34116688
[21:54:45.150] epoch: 0/50, iter: 172/252: loss:0.46311238
[21:54:46.881] epoch: 0/50, iter: 173/252: loss:0.498122
[21:54:48.631] epoch: 0/50, iter: 174/252: loss:0.50714034
[21:54:50.381] epoch: 0/50, iter: 175/252: loss:0.507101
[21:54:52.157] epoch: 0/50, iter: 176/252: loss:0.31482232
[21:54:53.936] epoch: 0/50, iter: 177/252: loss:0.52307785
[21:54:55.731] epoch: 0/50, iter: 178/252: loss:0.45949888
[21:54:57.523] epoch: 0/50, iter: 179/252: loss:0.529529
[21:54:59.373] epoch: 0/50, iter: 180/252: loss:0.50613624
[21:55:01.141] epoch: 0/50, iter: 181/252: loss:0.49087295
[21:55:02.938] epoch: 0/50, iter: 182/252: loss:0.52328306
[21:55:04.685] epoch: 0/50, iter: 183/252: loss:0.5029901
[21:55:06.435] epoch: 0/50, iter: 184/252: loss:0.3376145
[21:55:08.215] epoch: 0/50, iter: 185/252: loss:0.3633668
[21:55:09.969] epoch: 0/50, iter: 186/252: loss:0.4701069
[21:55:11.754] epoch: 0/50, iter: 187/252: loss:0.331674
[21:55:13.542] epoch: 0/50, iter: 188/252: loss:0.50245637
[21:55:15.318] epoch: 0/50, iter: 189/252: loss:0.37014395
[21:55:17.108] epoch: 0/50, iter: 190/252: loss:0.3105932
[21:55:18.899] epoch: 0/50, iter: 191/252: loss:0.49135274
[21:55:20.661] epoch: 0/50, iter: 192/252: loss:0.50789565
[21:55:22.463] epoch: 0/50, iter: 193/252: loss:0.3539583
[21:55:24.278] epoch: 0/50, iter: 194/252: loss:0.380395
[21:55:26.058] epoch: 0/50, iter: 195/252: loss:0.5056591
[21:55:27.821] epoch: 0/50, iter: 196/252: loss:0.25192153
[21:55:29.605] epoch: 0/50, iter: 197/252: loss:0.3966121
[21:55:31.396] epoch: 0/50, iter: 198/252: loss:0.4662036
[21:55:33.174] epoch: 0/50, iter: 199/252: loss:0.33787325
[21:55:34.989] epoch: 0/50, iter: 200/252: loss:0.24955863
[21:55:36.773] epoch: 0/50, iter: 201/252: loss:0.4531968
[21:55:38.570] epoch: 0/50, iter: 202/252: loss:0.16217647
[21:55:40.339] epoch: 0/50, iter: 203/252: loss:0.18946663
[21:55:42.117] epoch: 0/50, iter: 204/252: loss:0.38067326
[21:55:43.891] epoch: 0/50, iter: 205/252: loss:0.22736274
[21:55:45.659] epoch: 0/50, iter: 206/252: loss:0.32906184
[21:55:47.427] epoch: 0/50, iter: 207/252: loss:0.49342948
[21:55:49.219] epoch: 0/50, iter: 208/252: loss:0.26204214
[21:55:50.956] epoch: 0/50, iter: 209/252: loss:0.24505262
[21:55:52.719] epoch: 0/50, iter: 210/252: loss:0.13825601
[21:55:54.502] epoch: 0/50, iter: 211/252: loss:0.23736559
[21:55:56.258] epoch: 0/50, iter: 212/252: loss:0.36469376
[21:55:58.048] epoch: 0/50, iter: 213/252: loss:0.4319445
[21:55:59.828] epoch: 0/50, iter: 214/252: loss:0.3800837
[21:56:01.584] epoch: 0/50, iter: 215/252: loss:0.19948427
[21:56:03.370] epoch: 0/50, iter: 216/252: loss:0.4205177
[21:56:05.100] epoch: 0/50, iter: 217/252: loss:0.3747493
[21:56:06.891] epoch: 0/50, iter: 218/252: loss:0.45602378
[21:56:08.632] epoch: 0/50, iter: 219/252: loss:0.38529545
[21:56:10.399] epoch: 0/50, iter: 220/252: loss:0.50769454
[21:56:12.203] epoch: 0/50, iter: 221/252: loss:0.18855758
[21:56:13.994] epoch: 0/50, iter: 222/252: loss:0.36207315
[21:56:15.722] epoch: 0/50, iter: 223/252: loss:0.33854428
[21:56:17.477] epoch: 0/50, iter: 224/252: loss:0.27794388
[21:56:19.248] epoch: 0/50, iter: 225/252: loss:0.48083985
[21:56:20.964] epoch: 0/50, iter: 226/252: loss:0.22536758
[21:56:22.728] epoch: 0/50, iter: 227/252: loss:0.4456376
[21:56:24.478] epoch: 0/50, iter: 228/252: loss:0.3918018
[21:56:26.242] epoch: 0/50, iter: 229/252: loss:0.49476957
[21:56:27.990] epoch: 0/50, iter: 230/252: loss:0.42585784
[21:56:29.738] epoch: 0/50, iter: 231/252: loss:0.46649286
[21:56:31.511] epoch: 0/50, iter: 232/252: loss:0.4003584
[21:56:33.289] epoch: 0/50, iter: 233/252: loss:0.112518676
[21:56:35.057] epoch: 0/50, iter: 234/252: loss:0.45620832
[21:56:36.811] epoch: 0/50, iter: 235/252: loss:0.31864765
[21:56:38.579] epoch: 0/50, iter: 236/252: loss:0.46651608
[21:56:40.325] epoch: 0/50, iter: 237/252: loss:0.46035394
[21:56:42.108] epoch: 0/50, iter: 238/252: loss:0.452708
[21:56:43.895] epoch: 0/50, iter: 239/252: loss:0.5102439
[21:56:45.490] epoch: 0/50, iter: 240/252: loss:0.24752742
[21:56:47.084] epoch: 0/50, iter: 241/252: loss:0.42281833
[21:56:48.678] epoch: 0/50, iter: 242/252: loss:0.49642703
[21:56:50.292] epoch: 0/50, iter: 243/252: loss:0.41717193
[21:56:51.905] epoch: 0/50, iter: 244/252: loss:0.46611947
[21:56:53.516] epoch: 0/50, iter: 245/252: loss:0.51443446
[21:56:55.253] epoch: 0/50, iter: 246/252: loss:0.44336388
[21:56:56.926] epoch: 0/50, iter: 247/252: loss:0.34606877
[21:56:58.512] epoch: 0/50, iter: 248/252: loss:0.49670008
[21:57:00.087] epoch: 0/50, iter: 249/252: loss:0.500688
